錒	锕
挨	挨
噯	嗳
鎄	锿
捱	挨
皚	皑
騃	𫘤
藹	蔼
靄	霭
愛	爱
閡	阂
嬡	嫒
薆	𫉁
曖	暧
璦	瑷
礙	碍
鑀	𰾭
靉	叆
庵	庵
菴	庵
諳	谙
鵪	鹌
銨	铵
暗	暗
闇	暗
鮟	𩽾
骯	肮
謸	𫍵
鰲	鳌
鷔	𪉑
媼	媪
襖	袄
奧	奥
驁	骜
釟	𫓥
軷	𫐈
颰	𩙥
鈀	钯
垻	坝
罷	罢
鮊	鲌
壩	坝
擺	摆
襬	䙓 摆
敗	败
韛	𫖔
頒	颁
板	板
鈑	钣
闆	板
絆	绊
辦	办
縍	𫄰
幫	帮
綁	绑
謗	谤
鎊	镑
齙	龅
飽	饱
鴇	鸨
寶	宝
報	报
鉋	铇
鮑	鲍
杯	杯
盃	杯
揹	背
鵯	鹎
鉳	锫
貝	贝
背	背
狽	狈
梖	𪱷
珼	𫞥
備	备
輩	辈
鋇	钡
憊	惫
唄	呗
錛	锛
閍	𨸂
綳	绷
繃	绷
鏰	镚
鎞	𫔇
鰏	鲾
筆	笔
畢	毕
閉	闭
詖	诐
賁	贲
嗶	哔
彃	𪪼
蓽	荜
鉍	铋
飶	𫗣
幣	币
熚	𤇹
潷	滗
篳	筚
鮅	𫚑
斃	毙
蹕	跸
韠	𫖒
贔	赑
鷩	𫜁
編	编
獱	㺍
邊	边
鯾	𫚣
鯿	鳊
籩	笾
貶	贬
閞	𫔰
緶	缏
辮	辫
辯	辩
變	变
颮	飑
標	标
颷	𩙪
鏢	镖
飆	飙
飈	飚
驃	骠
鑣	镳
驫	骉
表	表
錶	表
鰾	鳔
鱉	鳖
別	别
癟	瘪
彆	别
賓	宾
儐	傧
濱	滨
檳	槟
璸	瑸
瀕	濒
繽	缤
鑌	镔
擯	摈
殯	殡
臏	膑
髕	髌
鬢	鬓
稟	禀
餅	饼
並	并
併	并
剝	剥
鉢	钵
撥	拨
餑	饽
鮁	鲅
蹳	𫏆
驋	𩧯
鈸	钹
鉑	铂
蔔	卜
駁	驳
襏	袯
鎛	镈
餺	馎
鵓	鹁
卜	卜
鈽	钸
轐	𫐗
補	补
鵏	𬷕
布	布
佈	布
鈈	钚
餔	𫗦
囃	𠱞
才	才
財	财
纔	才
采	采
寀	采
彩	彩
採	采
綵	䌽 彩
參	参
叄	叁
驂	骖
殘	残
慚	惭
蠶	蚕
慘	惨
穇	䅟
篸	𥮾
黲	黪
摻	掺
燦	灿
倉	仓
傖	伧
滄	沧
獊	𪺷
蒼	苍
艙	舱
鶬	鸧
冊	册
側	侧
廁	厕
惻	恻
測	测
萴	荝
筴	䇲
嵾	㟥
層	层
驓	𫘯
鍤	锸
餷	馇
鑔	镲
奼	姹
詫	诧
釵	钗
儕	侪
齜	龇
蠆	虿
覘	觇
鉆	钻
攙	搀
嬋	婵
禪	禅
蟬	蝉
纏	缠
讒	谗
鑱	镵
饞	馋
剗	刬
產	产
剷	铲
嵼	𡶴
滻	浐
嘽	啴
幝	𪩷
蕆	蒇
諂	谄
燀	𬊤
繟	𦈎
譂	𫟠
鏟	铲
闡	阐
囅	冁
懺	忏
顫	颤
倀	伥
錩	锠
閶	阊
鯧	鲳
萇	苌
腸	肠
嘗	尝
償	偿
嚐	尝
鱨	鲿
厂	厂
場	场
廠	厂
鋹	𬬮
悵	怅
瑒	玚
暢	畅
畼	𪽈
鈔	钞
鼂	鼌
麨	𪎊
車	车
俥	伡
唓	𪠳
硨	砗
徹	彻
綝	𬘭
