阿柏克茲亞	阿柏克兹亚
阿波羅計劃	阿波罗计划
阿卜杜拉	阿卜杜拉
阿布	阿布
阿布貝卡	阿布贝卡
阿布達	阿布达
阿布達比	阿布达比
阿布杜拉	阿布杜拉
阿布杜拉曼	阿布杜拉曼
阿布爾	阿布尔
阿布哈茲	阿布哈兹
阿布加	阿布加
阿布賈	阿布贾
阿布賈里布	阿布贾里布
阿布雷尤	阿布雷尤
阿布瑞	阿布瑞
阿布瑞尤	阿布瑞尤
阿布沙耶夫	阿布沙耶夫
阿布沙伊夫	阿布沙伊夫
阿布叔醇	阿布叔醇
阿布扎比	阿布扎比
阿布扎比市	阿布扎比市
阿黨	阿党
阿斗	阿斗
阿耳忒彌斯	阿耳忒弥斯
阿爾茨海默氏症	阿尔茨海默氏症
阿爾茨海默症	阿尔茨海默症
阿爾發粒子	阿尔发粒子
阿爾漢格爾斯克州	阿尔汉格尔斯克州
阿爾梅里亞	阿尔梅里亚
阿合奇	阿合奇
阿合奇縣	阿合奇县
阿赫蒂薩裏	阿赫蒂萨里
阿胡斯	阿胡斯
阿加莎克里斯蒂	阿加莎克里斯蒂
阿賈克斯	阿贾克斯
阿杰	阿杰
阿卡提里	阿卡提里
阿克達	阿克达
阿克拉	阿克拉
阿克倫	阿克伦
阿克倫河	阿克伦河
阿克塞哈薩克族自治縣	阿克塞哈萨克族自治县
阿克塞縣	阿克塞县
阿克賽欽	阿克赛钦
阿克蘇	阿克苏
阿克蘇地區	阿克苏地区
阿克蘇河	阿克苏河
阿克蘇市	阿克苏市
阿克陶	阿克陶
阿克陶縣	阿克陶县
阿拉伯共同市場	阿拉伯共同市场
阿拉伯聯合大公國	阿拉伯联合大公国
阿拉伯聯合酋長國	阿拉伯联合酋长国
阿拉克	阿拉克
阿拉乾山脈	阿拉干山脉
阿里	阿里
阿里巴巴	阿里巴巴
阿里巴巴與四十大盜	阿里巴巴与四十大盗
阿里地區	阿里地区
阿里郎	阿里郎
阿里曼	阿里曼
阿里桑那	阿里桑那
阿里山	阿里山
阿里山區	阿里山区
阿里山山脈	阿里山山脉
阿里山鄉	阿里山乡
阿里山之歌	阿里山之歌
阿里斯托芬	阿里斯托芬
