阿拉伯聯合大公國	阿拉伯聯合酋長國
安地卡及巴布達	安提瓜和巴布達
巴貝多	巴巴多斯
巴布亞紐幾內亞	巴布亞新幾內亞
貝里斯	伯利茲
貝南	貝寧
波士尼亞赫塞哥維納	波斯尼亞黑塞哥維那
波札那	博茨瓦納
帛琉	帕勞
布吉納法索	布基納法索
查德	乍得
喫茶小舖	喫茶小舖
純喫茶	純喫茶
多明尼加	多米尼加
厄瓜多	厄瓜多爾
厄利垂亞	厄立特里亞
傅立葉	傅里葉
蓋亞那	圭亞那
甘比亞	岡比亞
哥斯大黎加	哥斯達黎加
格瑞那達	格林納達
葛摩	科摩羅
瓜地馬拉	危地馬拉
哈薩克	哈薩克斯坦
宏都拉斯	洪都拉斯
吉布地	吉布堤
吉里巴斯	基里巴斯
幾內亞比索	幾內亞比紹
加彭	加蓬
迦納	加納
卡達	卡塔爾
克羅埃西亞	克羅地亞
肯亞	肯尼亞
快捷半導體	仙童半導體
賴比瑞亞	利比里亞
賴索托	萊索托
寮國	老撾
列支敦斯登	列支敦士登
盧安達	盧旺達
馬爾地夫	馬爾代夫
馬利共和國	馬里共和國
茅利塔尼亞	毛里塔尼亞
模里西斯	毛里求斯
莫三比克	莫桑比克
那杜	溫納圖萬
奈及利亞	尼日利亞
尼日	尼日爾
紐西蘭	新西蘭
諾魯	瑙魯
蒲隆地	布隆迪
千里達及托巴哥	特立尼達和多巴哥
喬治亞	格魯吉亞
塞普勒斯	塞浦路斯
塞席爾	塞舌爾
沙烏地阿拉伯	沙特阿拉伯
尚比亞	贊比亞
聖克里斯多福及尼維斯	聖基茨和尼維斯
聖露西亞	聖盧西亞
聖馬利諾	聖馬力諾
聖文森及格瑞那丁	聖文森特和格林納丁斯
獅子山	塞拉利昂
史瓦濟蘭	斯威士蘭
斯洛維尼亞	斯洛文尼亞
蘇利南	蘇里南
索羅門羣島	所羅門羣島
索馬利亞	索馬里
塔吉克	塔吉克斯坦
坦尚尼亞	坦桑尼亞
突尼西亞	突尼斯
土庫曼	土庫曼斯坦
吐瓦魯	圖瓦盧
萬那杜	瓦努阿圖
維德角	佛得角
汶萊	文萊
烏茲別克	烏茲別克斯坦
夏農	香農
象牙海岸	科特迪瓦
辛巴威	津巴布韋
亞塞拜然	阿塞拜疆
葉門	也門
衣索比亞	埃塞俄比亞
義大利	意大利
永珍	萬象
尤拉	歐拉
