阿拉伯聯合大公國	阿拉伯聯合酋長國
鑀	鎄
安地卡及巴布達	安提瓜和巴布達
巴貝多	巴巴多斯
巴布亞紐幾內亞	巴布亞新幾內亞
半形	半角
鉳	錇
貝里斯	伯利茲
貝南	貝寧
比特幣	比特幣
筆記型電腦	筆記本電腦
壁紙	壁紙
變數	變量
標頭檔案	頭文件
表示式	表達式
賓士	奔馳
冰棒	冰棍
波士尼亞赫塞哥維納	波斯尼亞黑塞哥維那
波札那	博茨瓦納
波長分波多工	波分複用
撥出	呼出
帛琉	帕勞
鈽	鈈
布吉納法索	布基納法索
布林	布爾
部落格	博客
埠	端口
菜單	菜單
參數列	參數表
查德	乍得
查詢	查找
場效電晶體	場效應管
超程式設計	元編程
巢狀	嵌套
程式	程序
程式碼	代碼
程式設計	編程
程式設計師	程序員
程式語言	編程語言
程序	進程
程序不正義	程序不正義
程序導向	面向過程
程序式程式設計	過程式編程
程序正義	程序正義
喫茶小舖	喫茶小舖
除錯	調試
儲存	保存 存儲
處理程序	處理程序
觸控	觸摸
觸控式螢幕	觸摸屏
傳送	發送
純喫茶	純喫茶
磁碟	磁盤
磁碟機代號	盤符
磁軌	磁道
伺服器	服務器
叢集	集羣
存檔	存盤
存取	訪問
鎝	鍀
打開	打開
代碼	代碼
單核心	宏內核
宕機	死機
檔案	文件
檔名	文件名
刀鋒伺服器	刀片服務器
地址	地址
登出	註銷
登錄檔	註冊表
登入	登錄
低級	低級
低階	低級
遞迴	遞歸
點選	點擊
點陣圖	位圖
電晶體	晶體管
電腦保安	計算機安全
電腦科學	計算機科學
調變	調制
調色盤	調色板
碟片	盤片
定址	尋址
丟擲	拋出
都會網路	城域網
堆疊	堆棧
對話方塊	對話框
對象	對象
對映	映射
多工	多任務
多明尼加	多米尼加
多型	多態
多執行緒	多線程
砈	砹
厄瓜多	厄瓜多爾
厄利垂亞	厄立特里亞
二極體	二極管
鍅	鈁
防毒	殺毒
防寫	寫保護
訪問	訪問
非同步	異步
飛航模式	飛行模式
分割槽	分區
分空間多重進接	空分多址
分碼多重進接	碼分多址
分頻多工	頻分複用
分頻多重進接	頻分多址
分散式	分佈式
分時多工	時分複用
分時多重進接	時分多址
副檔名	擴展名 文件擴展名
傅立葉	傅里葉
複製	拷貝
蓋亞那	圭亞那
甘比亞	岡比亞
感測	傳感
高畫質	高清
高級	高級
高階	高端 高級
高空彈跳	蹦極
高效能運算	高性能計算
哥斯大黎加	哥斯達黎加
格瑞那達	格林納達
葛摩	科摩羅
工作管理員	任務管理器
工作列	任務欄
瓜地馬拉	危地馬拉
關聯式資料庫	關係數據庫
光碟	光盤
光碟機	光驅
過載	重載
哈薩克	哈薩克斯坦
海內存知己	海內存知己
駭客	黑客
函式	函數
函數語言程式設計	函數式編程
核心	內核
覈取按鈕	複選按鈕
覈取方塊	複選框
宏	宏
宏都拉斯	洪都拉斯
後設資料	元數據
呼叫	調用
互動	交互
互動式	交互式
滑鼠	鼠標
畫素	像素
黃宏	黃宏
回撥	回調
迴圈	循環
匯出	導出
匯流排	總線
匯入	導入
彙編	彙編
稽覈	審覈
機率	概率 幾率
積體電路	集成電路
吉布地	吉布堤
吉里巴斯	基里巴斯
幾內亞比索	幾內亞比紹
技術長	首席技術官
計程車	出租車 的士
記憶體	內存
加彭	加蓬
迦納	加納
價效比	性價比
剪貼簿	剪貼板
剪下	剪切
檢視	查看 視圖
簡報	演示文稿
簡訊	短信
建構函式	構造函數
建立	創建
腳踏車	自行車
結束通話	掛斷
截圖	截屏
解除安裝	卸載
解構函式	析構函數
解析度	分辨率
介面	接口 界面
介面卡	適配器
金氧半導體	金屬氧化物半導體
金鑰	密鑰
進程	進程
進階	高端 高級
進位制	進制
晶片	芯片
巨集	宏
捲軸	滾動條
咖哩	咖喱
卡達	卡塔爾
鉲	鐦
開啟	打開
克羅埃西亞	克羅地亞
肯亞	肯尼亞
空間多工	空分複用
空氣清淨機	空氣淨化器
控制代碼	句柄
控制元件	控件
快捷半導體	仙童半導體
快取	緩存
快取記憶體	高速緩存
快閃記憶體	閃存
寬頻	寬帶
擴充套件	擴展
擴音	免提
來電轉接	呼叫轉移
賴比瑞亞	利比里亞
賴索托	萊索托
藍色畫面	藍屏
欄位	字段
雷射	激光
類比	模擬
類比電路	模擬電路
類比電子	模擬電子
類别範本	類模板
冷盤	涼菜
離線	脫機
李彥宏	李彥宏
例項	實例
連結	鏈接
連結串列	鏈表
連線	連接
聯結器	連接器
聯絡	聯繫
寮國	老撾
列舉	枚舉
列印	打印
列支敦斯登	列支敦士登
鎦	鑥
盧安達	盧旺達
錄影	錄像
邏輯閘	邏輯門
馬爾地夫	馬爾代夫
馬利共和國	馬里共和國
茅利塔尼亞	毛里塔尼亞
鋂	鎇
名稱空間	命名空間
名字空間	命名空間
命令列	命令行
模里西斯	毛里求斯
模擬	仿真 模擬
模組	模塊
摩爾線程	摩爾線程
莫三比克	莫桑比克
母音	元音
目的碼	目標代碼
那杜	溫納圖萬
奈及利亞	尼日利亞
奈米	納米
錼	鎿
內建	內置
內碼表	代碼頁
尼日	尼日爾
紐西蘭	新西蘭
諾魯	瑙魯
排程	調度
泡麵	方便麪
批次	批量
片語	詞組
頻寬	帶寬
平行計算	並行計算
破圖	花屏
蒲隆地	布隆迪
啟用	激活
氣泡排序	冒泡排序
千里達及托巴哥	特立尼達和多巴哥
簽帳金融卡	借記卡
前處理器	預處理器
喬治亞	格魯吉亞
區域網	局域網
區域性	局部
取樣	採樣
取樣率	採樣率
全球資訊網	萬維網
全形	全角
全域性	全局
人工智慧	人工智能
韌體	固件
乳酪	奶酪
入口網站	門戶網站
軟碟機	軟驅
軟體	軟件
塞普勒斯	塞浦路斯
塞席爾	塞舌爾
三極體	三極管
掃描器	掃描儀
沙烏地阿拉伯	沙特阿拉伯
傷心小棧	紅心大戰
尚比亞	贊比亞
燒錄	刻錄
社區	社區
社羣	社區
設定	設置
聖克里斯多福及尼維斯	聖基茨和尼維斯
聖露西亞	聖盧西亞
聖馬利諾	聖馬力諾
聖文森及格瑞那丁	聖文森特和格林納丁斯
獅子山	塞拉利昂
時脈頻率	時鐘頻率
實例	實例
實體地址	物理地址
實體記憶體	物理內存
識別符號	標識符
史瓦濟蘭	斯威士蘭
使用者	用戶
使用者名稱	用戶名
視窗	窗口
視覺化	可視化
視訊	視頻
視訊會議	視頻會議
視訊記憶體	顯存
視訊通話	視頻通話
釋出	發佈
數據機	調製解調器
數位	數字
數位電路	數字電路
數位電子	數字電子
數位印刷	數字印刷
數字	數字
斯洛維尼亞	斯洛文尼亞
搜尋	搜索
蘇利南	蘇里南
速食麵	方便麪
塑膠	塑料
隨身碟	U盤
縮排	縮進
縮圖	縮略圖
索羅門羣島	所羅門羣島
索馬利亞	索馬里
塔吉克	塔吉克斯坦
太空梭	航天飛機
坦尚尼亞	坦桑尼亞
跳脫字元	轉義字符
貼上	粘貼
停用	禁用
通道	信道
通過	通過
通話記錄	聯繫歷史
通話卡	通訊卡
通訊	通信
透過	通過
突尼西亞	突尼斯
圖示	圖標
土庫曼	土庫曼斯坦
吐瓦魯	圖瓦盧
外部索引鍵	外鍵
外掛	插件
外接	外置
萬那杜	瓦努阿圖
萬用字元	通配符
網際網路	互聯網
網咖	網吧
網路	網絡
網路上的芳鄰	網上鄰居
網絡卡	網卡
微控制器	單片機
維德角	佛得角
位元	比特
位元率	比特率
位元速率	碼率
位元組	字節
位址	地址
位址列	地址欄
文件	文檔
文書處理	文字處理
文字	文本
汶萊	文萊
烏茲別克	烏茲別克斯坦
無失真壓縮	無損壓縮
物件	對象
物件導向	面向對象
醯	酰
矽	硅
繫結	綁定
下拉式清單	下拉列表
夏農	香農
顯示卡	顯卡
線上	在線
相簿	圖庫 相冊
相容	兼容
向量	矢量
象牙海岸	科特迪瓦
消息	消息
效能	性能
擷取	截取
攜帶型	便攜式
辛巴威	津巴布韋
新增	添加
信號	信號
行動電話	移動電話
行動式	便攜式
行動通訊	移動通信
行動網路	移動網絡
行動硬碟	移動硬盤
行動資料	移動資料
行內函數	內聯函數
型別	類型
虛擬函式	虛函數
虛擬機器	虛擬機 虛擬機器
虛擬碼	僞代碼
許可權	權限
序號產生器	註冊機
序列	串行
序列埠	串口 串行端口
宣告	聲明
選單	菜單
循環	循環
訊號	信號
訊息	消息
訊雜比	信噪比
亞塞拜然	阿塞拜疆
演算法	算法
頁首	頁眉
頁尾	頁腳
葉門	也門
衣索比亞	埃塞俄比亞
乙太網	以太網
溢位	溢出
義大利	意大利
音效卡	聲卡
音訊	音頻
引數	參數
印表機	打印機
營運長	首席運營官
螢幕	屏幕
影片	視頻
影像	圖像
影印	複印
映象	鏡像
映象管	顯像管
硬碟	硬盤
硬體	硬件
永續性	持久性
永珍	萬象
優先順序	優先級
尤拉	歐拉
游標	光標
有失真壓縮	有損壓縮
預設	默認 缺省
預設值	默認值
元件	組件
原生代碼	本地代碼
原始檔	源文件
原始碼	原代碼 源代碼 源碼
遠端	遠程
雲端儲存	雲存儲
雲端計算	雲計算
運算式	表達式
運算元	操作數 算子
運算子	操作符 運算符
雜湊	哈希 散列
載入	加載
載入程式	引導程序
暫存器	寄存器
閘道器	網關
閘電路	門電路
閘流體	晶閘管
粘貼	粘貼
遮蔽	屏蔽
摺積	捲積
真實模式	實模式
偵錯	調試
偵錯程式	調試器
陣列	數組
整合	集成
正規表示式	正則表達式
正規化	範式
支持者	支持者
支援	支持
直譯器	解釋器
執行	運行
執行緒	線程
執行長	首席執行官
指標	指針
指令碼	腳本
指令式程式設計	命令式編程
智慧	智能
智慧財產權	知識產權
中介軟體	中間件
終端使用者	最終用戶
重灌	重裝
重新命名	重命名
重新整理	刷新
主機板	主板
主開機記錄	主引導記錄
佇列	隊列
專案	項目
裝置	設備
狀態列	狀態欄
桌布	壁紙
桌上型	桌面型
桌上型電腦	臺式機
資料	數據
資料包	數據報
資料倉儲	數據倉庫
資料夾	文件夾
資料庫	數據庫
資料來源	數據源
資料探勘	數據挖掘
資訊	信息
資訊安全	信息安全
資訊科技	信息技術
資訊理論	信息論
資訊長	首席信息官
子音	輔音
字串	字符串
字節跳動	字節跳動
字首	前綴
字尾	後綴
字型	字體
字型檔	字庫
字元	字符
字元集	字符集
自動旋轉螢幕	自動轉屏
組合語言	彙編語言
組譯	彙編
最佳化	優化
作業系統	操作系統
PN接面	PN結
SQL隱碼攻擊	SQL注入 SQL注入攻擊
